self.n_clientes = 86
self.n_hubs = 20

# Matriz de distancias cliente-hub (86 x 20)
self.distancias = [
    [9, 23, 40, 38, 28, 20, 24, 38, 14, 24, 32, 27, 30, 25, 46, 30, 27, 39, 30, 40],
    [4, 16, 37, 30, 22, 12, 23, 30, 12, 20, 25, 27, 25, 21, 42, 24, 26, 32, 26, 36],
    [4, 16, 37, 31, 22, 13, 22, 31, 11, 20, 26, 26, 26, 21, 42, 25, 26, 33, 26, 36],
    [14, 0, 27, 15, 6, 3, 20, 15, 13, 11, 11, 25, 14, 10, 30, 11, 22, 17, 16, 24],
    [17, 7, 34, 15, 12, 7, 27, 16, 18, 18, 16, 32, 20, 17, 36, 17, 29, 21, 23, 30],
    [22, 9, 32, 8, 9, 11, 28, 10, 22, 18, 12, 33, 18, 17, 33, 15, 30, 15, 22, 26],
    [19, 11, 16, 20, 8, 13, 12, 17, 13, 3, 8, 17, 4, 1, 21, 4, 13, 14, 5, 14],
    [34, 30, 4, 35, 26, 31, 16, 32, 26, 19, 24, 15, 17, 20, 12, 20, 13, 26, 14, 13],
    [31, 25, 3, 28, 20, 27, 16, 25, 24, 15, 17, 17, 11, 15, 9, 14, 13, 18, 9, 6],
    [39, 31, 7, 32, 26, 34, 24, 28, 32, 23, 22, 24, 18, 22, 3, 20, 21, 21, 16, 8],
    [40, 33, 7, 34, 28, 35, 24, 30, 33, 24, 24, 23, 19, 24, 5, 22, 21, 23, 17, 10],
    [31, 27, 4, 33, 23, 28, 13, 30, 23, 16, 21, 13, 14, 17, 13, 17, 10, 24, 11, 12],
    [33, 27, 0, 32, 23, 29, 17, 28, 26, 17, 20, 16, 14, 18, 9, 17, 13, 21, 11, 8],
    [33, 19, 34, 4, 16, 22, 36, 6, 32, 26, 16, 40, 23, 24, 31, 20, 36, 13, 26, 26],
    [29, 15, 32, 0, 12, 18, 32, 4, 28, 22, 12, 37, 19, 20, 30, 16, 33, 11, 23, 24],
    [31, 17, 33, 2, 14, 20, 34, 5, 30, 24, 14, 39, 21, 22, 31, 18, 35, 12, 25, 26],
